Before,target_letter,After,Instruction
فَهِيَ إِلَى الْأَ,ظْ,قَانِ فَهُم مُّقْمَحُونَ,إستبدال ذ / ظ
وَ,ظَ,لَّلْنَاهَا لَهُمْ فَمِنْهَا رَكُوبُهُمْ,إستبدال ذ / ظ
لِلَّذِينَ تَ,سْ,دَرِي أَعْيُنُكُمْ,إستبدال زْ / س
ذَٰلِكُمْ أَ,سْ,كَىٰ لَكُمْ وَأَطْهَرُ,إستبدال زْ / س
بِبِضَاعَةٍ مُّ,سْ,جَاةٍ فَأَوْفِ,إستبدال زْ / س
لَيُ,سْ,لِقُونَكَ بِأَبْصَارِهِمْ,إستبدال زْ / س
الَّذِي يُ,سْ,جِي لَكُمُ الْفُلْكَ,إستبدال زْ / س
إياك نع,بُ,دُ,إستبدال الفتحة / بالضمة
إِنَّ اللَّهَ غَنِ,يَّ, عَنِ الْعَالَمِينَ,إستبدال الضمة / بالفاتحة
وَإِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِي,رٌ,,إستبدال الفتحة / بالضمة
الْحَمْدُ لِلَّهِ رَ,بَ, الْعَالَمِينَ,إستبدال الكسرة / بالفاتحة
وَإِذْ قَالَ إِبْرَاهِيمُ رَ,بُّ, اجْعَلْ هَٰذَا الْبَلَدَ آمِنًا,إستبدال الكسرة / بالضمة
وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُ,ي,نَ,إستبدال الواو / الياء
ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡ,بُ, فِيهِۛ,إستبدال الفتحة / بالضمة
وَمَا مُحَمَّدٌ إِلَّا رَسُو,لِِ,,إستبدال الضمة / بالكسرة 
وَكَذَٰلِكَ جَعَلۡنَـٰكُمۡ أُمَّةًۭ وَسَ,طُ,,إستبدال تنوين الفتح / بالضمة
وَعْدَ ٱللَّهِ لَا يُخْلِفُ ٱللَّ,هَ, وَعْدَهُۥ,إستبدال الضمة / بالفتحة
فَسَبِّحْ بِٱسْمِ رَبِّكَ ٱلْعَظِي,مُ,,إستبدال الكسرة / بالضمة
وَقُودُهَا ٱلنَّا,سِ, وَٱلْحِجَارَة,إستبدال الفتحة / بالكسرة
لِكَيْلَا يَكُونَ دُولَ,ةُ, بَيْنَ ٱلْأَغْنِيَاءِ مِنكُمْ,إستبدال الفتحة / بالضمة
إِنَّ الصَّفَا وَالْمَرْوَةَ مِنْ شَعَائِ,رُ, اللَّهِ,إستبدال الكسرة / بالضمة
إِنَّ اللَّهَ يَفْعَلُ مَا يُرِي,دَ,,إستبدال الضمة / بالفتحة
ٱلَّ,زِ,ينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ,إستبدال ذ / ز
ٱهۡدِنَا ٱل,ز,رَٰطَ ٱلۡمُسۡتَقِيمَ,إستبدال ص / ز
قَالَ لَا تَخَافَآ إِنَّنِي مَ,عْ,كُمَآ أَسۡمَعُ وَأَرَىٰ,إستبدال الفتحة / بالسكون
إِيَّاكَ نَعْبُدُ وَإِيَّاكَ ,نِ,سْتَعِينُ,إستبدال الفتحة / بالكسرة
وَسِيقَ الَّذِينَ اتَّقَوْا رَبَّهُمْ إِلَى الْجَنَّةِ زُ,مُ,رً,إستبدال الفتحة  / بالضمة
يوم نَطْوِي السَّمَاءَ ,قَ,طَيِّ السِّجِلِّ لِلْكُتُبِ,إستبدال كَ / قَ
وَأَعْرِضْ عَنِ ا,ل,جَاهِلِينَ,حذف اللام
وَإِذْ جَعَ,ل,نَا الْبَيْتَ مَثَابَةً لِّلنَّاسِ وَأَمْنًا,حذف اللام
لَأَكَلُواْ مِن فَوْقِهِ,م, وَمِن تَحْتِ أَرْجُلِهِم,حذف الميم
قَالَا رَبَّنَا إِنَ,ّ,ا نَخَافُ أَنْ يَفْرُطَ عَلَيْنَا,ترك التشديد
وَلَنْ تَسْتَطِيعُوا أَنْ تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَ,س,تُمْ,إستبدال س / ص
وَمَنْ أَ,ز,دَقُ مِنَ اللَّهِ حَدِيثًا,إستبدال ص / ز
صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا ال,ظ,الِّينَ,إستبدال ض / ظ
فَمَنِ ا,ض,طُرَّ غَيْرَ بَاغٍ وَلَا عَادٍ فَلَا إِثْمَ عَلَيْهِ ۚ,حذف الضاد
وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَ,ح,تَدُوا ۚ,إستبدال ع / ح
وَاسْمَ,ع, غَيْرَ مُسْمَع,حذف العين
وَمَا كَانَ عَطَآءُ رَبِّكَ مَح,ذ,ورًا,إستبدال ظ / ذ
وَأُخْرَىٰ لَمْ,ط,قْدِرُوا عَلَيْهَا قَدْ أَحَاطَ اللَّهُ بِهَا,إستبدال ت / ط
إِنَّمَا نَحْنُ فِ,سْ,نَةٌ فَلَا تَكْفُرْ,إستبدال ت / س
وَ,طً,ضْحَكُونَ وَلَا تَبْكُونَ,إستبدال ت / ط
لَوْلَا أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ,تَ,رْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلً,حذف التاء
وَجَدَهَا,طَ,طْلُعُ عَلَىٰ قَوْمٍ لَّمْ نَجْعَل,إستبدال ت / ط
وَمِن شَرِّ النَّفَّا,فَ,اتِ فِي الْعُقَدِ,إستبدال ث / ف
وَاقْتُلُوهُمْ حَيْ,ثُ, ثَقِفْتُمُوهُمْ,حذف الثاء
فَوَلِّ وَ,شْ,هَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ,إستبدال ج / ش
وَلَا جُنَا,عَ, عَلَيْكُمْ,إستبدال ع / ح
فَاصْفَ,ح, عَّنْهُمْ وَقُلْ سَلَامٌ,حذف الحاء
وَأَهْدِيَكَ إِلَىٰ رَبِّكَ فَتَ,غْ,شَىٰ,إستبدال غ / خ
مِّنَ الْأَنبَاءِ مَا فِيهِ مُزْ,تَ,جَرٌ,إستبدال د / ت
وَلَا أَقُولُ لِلَّذِينَ تَزْ,تَ,رِي أَعْيُنُكُمْ,إستبدال د / ت
فَهَلْ مِن مُّ,تَّ,كِرٍ,إستبدال د / ت
وَوَاعَ,نَّ,ا مُوسَىٰ ثَلَاثِينَ لَيْلَةً,حذف الدال
فَ,ظَ,اقَتْ وَبَالَ أَمْرِهَا,إستبدال ذ / ظ
قَالَ مَعَا,ظَ, اللَّهِ أَن نَّأْخُذَ,إستبدال ذ / ظ
فَسَاءَ مَطَرُ الْمُن,ظَ,رِينَ,إستبدال ذ / ظ
وَإِنِّي عُ,ذ,تُّ بِرَبِّي وَرَبِّكُمْ,حذف الذال
مَا يُوحَىٰ إِلَيَّ مِن رَّ,رر,بِّي,تكرار الراء
وَ,ظُ,خْرُفًا ۚ وَإِن كُلُّ ذَٰلِكَ,إستبدال ز / ظ
عِندَهَا رِ,سْ,قًا قَالَ,إستبدال ز / س
يَ,حْ,شَى النَّاسَ هَذَا عَذَابٌ أَلِيمٌ,إستبدال خ / ح
وَحَفَ,ف,نَاهُمَا بِنَخْلٍ وَجَعَلْنَا بَيْنَهُمَا زَرْعًا,حذف الفاء
 وَيَمْشِي فِي الْأَسْوَا,كِ,,إستبدال ق / ك
فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْ,زِ,دِ الْحَرَامِ,إستبدال ج / ز
أَفَآمِنُوا۟ مَكْرَ اللَّٰهِۚ فَلَا يَأْمَنُ مَكْرَ اللَّٰهِ إِلَّا الْقَوْمُ الْخَا,صِ,رُونَ,إستبدال س / ص
لَا إِكْرَاهَ فِي الدِّينِ ۚ قَدْ تَبَيَّنَ الرُّ,ج,دُ مِنَ الْغَيِّ,إستبدال ش / ج
وَلِكُلٍ,وِ,جْهَةٌ هُوَ مُوَلِّيَهَا فَاسْتَبِقُوا الْخَيْرَاتِ,حذف الواو
وَأَعْ,دَ,دْنَا لِلْكَافِرِينَ عَذَابًا مُّهِينًا,استبدال ت / د
لِيَ,زِّ,يَ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ,حذف ال جْ
الرَّ,رر,حْمَٰنِ,تكرار الراء
