Sentence,Before,target_letter,After,Instruction
وَلَوْ بَس@صَطَ اللَّٰهُ الرِّزْقَ لِعِبَادِهِ,وَلَوْ بَ,صَ,طَ اللَّٰهُ الرِّزْقَ لِعِبَادِهِ,إستبدال س /  ص
وَأَس@صَرُّوا۟ النَّدَامَةَ لَمَّا رَءَوا۟ الْعَذَابَ,وَأَ,صَ,رُّوا۟ النَّدَامَةَ لَمَّا رَءَوا۟ الْعَذَابَ,إستبدال س / ص
هَلْ أَدُلُّكَ عَلَىٰ ش@جَجَرَةِ الْخُلْدِ,هَلْ أَدُلُّكَ عَلَىٰ ,جَ,جَرَةِ الْخُلْدِ,إستبدال ش / ج
وَإِنَّ مِنْهُمْ لَفَرِيقًا يَلْوّ@  ُنَ أَلْسِنَتَهُمْ بِالْكِتَابِ,وَإِنَّ مِنْهُمْ لَفَرِيقًا يَلْ,وُ,نَ أَلْسِنَتَهُمْ بِالْكِتَابِ,حذف التشديد
سَلْ بَنِي إِسْرَائِيلَ كَمْ  ءَا@  تَيْنَاهُم مِّنْ آيَةٍ بَيِّنَةٍ,سَلْ بَنِي إِسْرَائِيلَ كَمْ ,ءَ,تَيْنَاهُم مِّنْ آيَةٍ بَيِّنَةٍ,حذف الالف
يَسْأَلُكَ أَهْلُ ٱلْكِتَا@وبِ أَن تُنَزِّلَ عَلَيْهِمْ كِتَابًا مِّنَ ٱلسَّمَاءِ,يَسْأَلُكَ أَهْلُ ٱلْكِتَ,و,بِ أَن تُنَزِّلَ عَلَيْهِمْ كِتَابًا مِّنَ ٱلسَّمَاءِ,إستبدال الالف / الواو
لَّقَدْ كَانَ فِى ي@ُّوسُفَ وَإِخْوَتِهِ ءَايَاتٌ لِّلسَّائِلِينَ,لَّقَدْ كَانَ فِى ,يُّ,وسُفَ وَإِخْوَتِهِ ءَايَاتٌ لِّلسَّائِلِينَ,أضافة تشديد
وَات@سْلُ عَلَيْهِمْ نَبَأَ إِبْرَاهِيمَ,وَا,سْ,لُ عَلَيْهِمْ نَبَأَ إِبْرَاهِيمَ,إستبدال ت / س
وَحِينَ ت@طَضَعُونَ ثِيَابَكُم مِّنَ ٱلظَّهِيرَةِ,وَحِينَ, طَ,ضَعُونَ ثِيَابَكُم مِّنَ ٱلظَّهِيرَةِ,إستبدال ت / ط
أَفَت@طَطْمَعُونَ أَن يُؤْمِنُوا لَكُمْ,أَفَ,طَ,طْمَعُونَ أَن يُؤْمِنُوا لَكُمْ,إستبدال ت / ط
ت@  بَعُهَا الرَّادِفَةُ,,تَ,بَعُهَا الرَّادِفَةُ,حذف التاء
فَإِذَا هُم مِّنَ الْأَجْدَاث@ذِ إِلَىٰ رَبِّهِمْ يَنسِلُونَ,فَإِذَا هُم مِّنَ الْأَجْدَا,ذِ, إِلَىٰ رَبِّهِمْ يَنسِلُونَ,إستبدال ث / ذ
لَّقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ ثَالِث@  ثَلَاثَةٍ,لَّقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ ثَا,لِ, ثَلَاثَةٍ,حذف الثاء
قَالَ كَمْ لَبِث@ تُمْ فِي الْأَرْضِ عَدَدَ سِنِينَ,قَالَ كَمْ لَبِ,تُ,مْ فِي الْأَرْضِ عَدَدَ سِنِينَ,حذف الثاء
ثُمَّ اج@شْتَبَاهُ رَبُّهُ فَتَابَ عَلَيْهِ,ثُمَّ ا,شْ,تَبَاهُ رَبُّهُ فَتَابَ عَلَيْهِ,إستبدال ج / ش
وَيَكُونَ الد@تِّينُ لِلَّهِ,وَيَكُونَ ال,تِّ,ينُ لِلَّهِ,إستبدال د / ت
ذَٰلِكَ أَد@ نَّىٰ أَلَّا تَعُولُوا,ذَٰلِكَ أَ ,نَّ,ىٰ أَلَّا تَعُولُوا,حذف الدال
فَهِيَ إِلَى الْأَذ@ظْقَانِ فَهُم مُّقْمَحُونَ,فَهِيَ إِلَى الْأَ,ظْ,قَانِ فَهُم مُّقْمَحُونَ,إستبدال ذ / ظ
وَذ@ظَلَّلْنَاهَا لَهُمْ فَمِنْهَا رَكُوبُهُمْ,وَ,ظَ,لَّلْنَاهَا لَهُمْ فَمِنْهَا رَكُوبُهُمْ,إستبدال ذ / ظ
لِلَّذِينَ تَز@سْدَرِي أَعْيُنُكُمْ,لِلَّذِينَ تَ,سْ,دَرِي أَعْيُنُكُمْ,إستبدال زْ / س
ذَٰلِكُمْ أَز@سْكَى لَكُمْ وَأَطْهَرُ,ذَٰلِكُمْ أَ,سْ,كَىٰ لَكُمْ وَأَطْهَرُ,إستبدال زْ / س
بِبِضَاعَةٍ مُّز@سْجَاةٍ فَأَوْفِ,بِبِضَاعَةٍ مُّ,سْ,جَاةٍ فَأَوْفِ,إستبدال زْ / س
لَيز@سْلِقُونَكَ بِأَبْصَارِهِمْ,لَيُ,سْ,لِقُونَكَ بِأَبْصَارِهِمْ,إستبدال زْ / س
الَّذِي يُز@سْجِي لَكُمُ الْفُلْكَ,الَّذِي يُ,سْ,جِي لَكُمُ الْفُلْكَ,إستبدال زْ / س
إياك نعبَ@ُدُ,إياك نع,بُ,دُ,إستبدال الفتحة / بالضمة
إِنَّ اللَّهَ غَنِيُّ@َ عَنِ الْعَالَمِينَ,إِنَّ اللَّهَ غَنِ,يَّ, عَنِ الْعَالَمِينَ,إستبدال الضمة / بالفاتحة
وَإِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرً@ٌ,وَإِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِي,رٌ,,إستبدال الفتحة / بالضمة
الْحَمْدُ لِلَّهِ رَبِ@َ الْعَالَمِينَ,الْحَمْدُ لِلَّهِ رَ,بَ, الْعَالَمِينَ,إستبدال الكسرة / بالفاتحة
وَإِذْ قَالَ إِبْرَاهِيمُ رَبٍّ@ٌ اجْعَلْ هَٰذَا الْبَلَدَ آمِنًا,وَإِذْ قَالَ إِبْرَاهِيمُ رَ,بُّ, اجْعَلْ هَٰذَا الْبَلَدَ آمِنًا,إستبدال الكسرة / بالضمة
وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُو@ينَ,وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُ,ي,نَ,إستبدال الواو / الياء
ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيبَ@ُ فِيهِۛ,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡ,بُ, فِيهِۛ,إستبدال الفتحة / بالضمة
وَمَا مُحَمَّدٌ إِلَّا رَسُولٌ@ٍ,وَمَا مُحَمَّدٌ إِلَّا رَسُو,لِِ,,إستبدال الضمة / بالكسرة 
وَكَذَٰلِكَ جَعَلۡنَـٰكُمۡ أُمَّةً وَسَطً@ٌ,وَكَذَٰلِكَ جَعَلۡنَـٰكُمۡ أُمَّةًۭ وَسَ,طُ,,إستبدال تنوين الفتح / بالضمة
وَعْدَ ٱللَّهِ لَا يُخْلِفُ ٱللَّهُ@َ وَعْدَهُۥ,وَعْدَ ٱللَّهِ لَا يُخْلِفُ ٱللَّ,هَ, وَعْدَهُۥ,إستبدال الضمة / بالفتحة
فَسَبِّحْ بِٱسْمِ رَبِّكَ ٱلْعَظِيمِ@ُ,فَسَبِّحْ بِٱسْمِ رَبِّكَ ٱلْعَظِي,مُ,,إستبدال الكسرة / بالضمة
وَقُودُهَا ٱلنَّاسَ@ِ وَٱلْحِجَارَة,وَقُودُهَا ٱلنَّا,سِ, وَٱلْحِجَارَة,إستبدال الفتحة / بالكسرة
لِكَيْلَا يَكُونَ دُولَةَ@ُ بَيْنَ ٱلْأَغْنِيَاءِ مِنكُمْ,لِكَيْلَا يَكُونَ دُولَ,ةُ, بَيْنَ ٱلْأَغْنِيَاءِ مِنكُمْ,إستبدال الفتحة / بالضمة
إِنَّ الصَّفَا وَالْمَرْوَةَ مِنْ شَعَائِرِ@ُ اللَّهِ,إِنَّ الصَّفَا وَالْمَرْوَةَ مِنْ شَعَائِ,رُ, اللَّهِ,إستبدال الكسرة / بالضمة
إِنَّ اللَّهَ يَفْعَلُ مَا يُرِيدُ@َ,إِنَّ اللَّهَ يَفْعَلُ مَا يُرِي,دَ,,إستبدال الضمة / بالفتحة
ٱلَّذ@زِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ,ٱلَّ,زِ,ينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ,إستبدال ذ / ز
ٱهۡدِنَا ٱلص@زرَطَ ٱلۡمُسۡتَقِيمَ,ٱهۡدِنَا ٱل,ز,رَٰطَ ٱلۡمُسۡتَقِيمَ,إستبدال ص / ز
قَالَ لَا تَخَافَآ إِنَّنِي مَعَ@ْكُمَآ أَسۡمَعُ وَأَرَىٰ,قَالَ لَا تَخَافَآ إِنَّنِي مَ,عْ,كُمَآ أَسۡمَعُ وَأَرَىٰ,إستبدال الفتحة / بالسكون
إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَ@ِسْتَعِينُ,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ ,نِ,سْتَعِينُ,إستبدال الفتحة / بالكسرة
وَسِيقَ الَّذِينَ اتَّقَوْا رَبَّهُمْ إِلَى الْجَنَّةِ زُمَ@ُرً,وَسِيقَ الَّذِينَ اتَّقَوْا رَبَّهُمْ إِلَى الْجَنَّةِ زُ,مُ,رً,إستبدال الفتحة  / بالضمة
يوم نَطْوِي السَّمَاءَ ك@قَطَيِّ السِّجِلِّ لِلْكُتُبِ,يوم نَطْوِي السَّمَاءَ ,قَ,طَيِّ السِّجِلِّ لِلْكُتُبِ,إستبدال كَ / قَ
وَأَعْرِضْ عَنِ ال@ جَاهِلِينَ,وَأَعْرِضْ عَنِ ا,ل,جَاهِلِينَ,حذف اللام
وَإِذْ جَعَل@ نَا الْبَيْتَ مَثَابَةً لِّلنَّاسِ وَأَمْنًا,وَإِذْ جَعَ,ل,نَا الْبَيْتَ مَثَابَةً لِّلنَّاسِ وَأَمْنًا,حذف اللام
لَأَكَلُواْ مِن فَوْقِهِم@  وَمِن تَحْتِ أَرْجُلِهِم,لَأَكَلُواْ مِن فَوْقِهِ,م, وَمِن تَحْتِ أَرْجُلِهِم,حذف الميم
قَالَا رَبَّنَا إِنَّ@ ا نَخَافُ أَنْ يَفْرُطَ عَلَيْنَا,قَالَا رَبَّنَا إِنَ,ّ,ا نَخَافُ أَنْ يَفْرُطَ عَلَيْنَا,ترك التشديد
وَلَنْ تَسْتَطِيعُوا أَنْ تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَص@ستُمْ,وَلَنْ تَسْتَطِيعُوا أَنْ تَعْدِلُوا بَيْنَ النِّسَاءِ وَلَوْ حَرَ,س,تُمْ,إستبدال س / ص
وَمَنْ أَص@زدَقُ مِنَ اللَّهِ حَدِيثًا,وَمَنْ أَ,ز,دَقُ مِنَ اللَّهِ حَدِيثًا,إستبدال ص / ز
صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الض@ظالِّينَ,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا ال,ظ,الِّينَ,إستبدال ض / ظ
فَمَنِ اض@ طُرَّ غَيْرَ بَاغٍ وَلَا عَادٍ فَلَا إِثْمَ عَلَيْهِ,فَمَنِ ا,ض,طُرَّ غَيْرَ بَاغٍ وَلَا عَادٍ فَلَا إِثْمَ عَلَيْهِ ,حذف الضاد
وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَع@حتَدُوا,وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَ,ح,تَدُوا ۚ,إستبدال ع / ح
وَاسْمَع@  غَيْرَ مُسْمَع,وَاسْمَ,ع, غَيْرَ مُسْمَع,حذف العين
وَمَا كَانَ عَطَآءُ رَبِّكَ مَحظ@ذورًا,وَمَا كَانَ عَطَآءُ رَبِّكَ مَح,ذ,ورًا,إستبدال ظ / ذ
وَأُخْرَىٰ لَمْ ت@طقْدِرُوا عَلَيْهَا قَدْ أَحَاطَ اللَّهُ بِهَا,وَأُخْرَىٰ لَمْ,ط,قْدِرُوا عَلَيْهَا قَدْ أَحَاطَ اللَّهُ بِهَا,إستبدال ت / ط
إِنَّمَا نَحْنُ فِت@سْنَةٌ فَلَا تَكْفُرْ,إِنَّمَا نَحْنُ فِ,سْ,نَةٌ فَلَا تَكْفُرْ,إستبدال ت / س
وَت@طًضْحَكُونَ وَلَا تَبْكُونَ,وَ,طً,ضْحَكُونَ وَلَا تَبْكُونَ,إستبدال ت / ط
لَوْلَا أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ تَ@ رْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلً,لَوْلَا أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ ,تَ,رْكَنُ إِلَيْهِمْ شَيْئًا قَلِيلً,حذف التاء
وَجَدَهَا ت@طَطْلُعُ عَلَىٰ قَوْمٍ لَّمْ نَجْعَل,وَجَدَهَا ,طَ,طْلُعُ عَلَىٰ قَوْمٍ لَّمْ نَجْعَل,إستبدال ت / ط
وَمِن شَرِّ النَّفَّاث@فَاتِ فِي الْعُقَدِ,وَمِن شَرِّ النَّفَّا,فَ,اتِ فِي الْعُقَدِ,إستبدال ث / ف
وَاقْتُلُوهُمْ حَيْثُ@  ثَقِفْتُمُوهُمْ,وَاقْتُلُوهُمْ حَيْ,ثُ, ثَقِفْتُمُوهُمْ,حذف الثاء
فَوَلِّ وَج@شْهَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ,فَوَلِّ وَ,شْ,هَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ,إستبدال ج / ش
وَلَا جُنَاح@عَ عَلَيْكُمْ,وَلَا جُنَا,عَ, عَلَيْكُمْ,إستبدال ح / ع
فَاصْفَح@ عَّنْهُمْ وَقُلْ سَلَامٌ,فَاصْفَ,ح ,عَّنْهُمْ وَقُلْ سَلَامٌ,حذف الحاء
وَأَهْدِيَكَ إِلَى رَبِّكَ فَتَخ@غْشَى,وَأَهْدِيَكَ إِلَىٰ رَبِّكَ فَتَ,غْ,شَىٰ,إستبدال غ / خ
مِّنَ الْأَنبَاءِ مَا فِيهِ مُزْد@تَجَرٌ,مِّنَ الْأَنبَاءِ مَا فِيهِ مُزْ,تَ,جَرٌ,إستبدال د / ت
وَلَا أَقُولُ لِلَّذِينَ تَزْد@تَرِي أَعْيُنُكُمْ,وَلَا أَقُولُ لِلَّذِينَ تَزْ,تَ,رِي أَعْيُنُكُمْ,إستبدال  د / ت
فَهَلْ مِن مُّد@تَّكِرٍ,فَهَلْ مِن مُّ,تَّ,كِرٍ,إستبدال د / ت
وَوَاعَد@ نَّا مُوسَى ثَلَاثِينَ لَيْلَةً,وَوَاعَ,نَّ,ا مُوسَىٰ ثَلَاثِينَ لَيْلَةً,حذف الدال
فَذ@ظَاقَتْ وَبَالَ أَمْرِهَا,فَ,ظَ,اقَتْ وَبَالَ أَمْرِهَا,إستبدال ذ / ظ
قَالَ مَعَاذ@ظَ اللَّهِ أَن نَّأْخُذَ,قَالَ مَعَا,ظَ, اللَّهِ أَن نَّأْخُذَ,إستبدال ذ / ظ
فَسَاءَ مَطَرُ الْمُنذ@ظَرِينَ,فَسَاءَ مَطَرُ الْمُن,ظَ,رِينَ,إستبدال ذ / ظ
وَإِنِّي عُذ@ تُّ بِرَبِّي وَرَبِّكُمْ,وَإِنِّي عُ,ذ,تُّ بِرَبِّي وَرَبِّكُمْ,حذف الذال
مَا يُوحَىٰ إِلَيَّ مِن ر @َّ بِّي,مَا يُوحَىٰ إِلَيَّ مِن رَّ,رر,بِّي,تكرار الراء
وَز@ظُخْرُفًا وَإِن كُلُّ ذَٰلِكَ,وَ,ظُ,خْرُفًا وَإِن كُلُّ ذَٰلِكَ,إستبدال ز / ظ
عِندَهَا رِز@سْقًا قَالَ,عِندَهَا رِ,سْ,قًا قَالَ,إستبدال ز / س
يَخ@حْشَى النَّاسَ هَذَا عَذَابٌ أَلِيمٌ,يَ,حْ,شَى النَّاسَ هَذَا عَذَابٌ أَلِيمٌ,إستبدال خ / ح
وَحَفَف@ نَاهُمَا بِنَخْلٍ وَجَعَلْنَا بَيْنَهُمَا زَرْعًا,وَحَفَ,ف,نَاهُمَا بِنَخْلٍ وَجَعَلْنَا بَيْنَهُمَا زَرْعًا,حذف الفاء
 وَيَمْشِي فِي الْأَسْوَاق@كِ, وَيَمْشِي فِي الْأَسْوَا,كِ,,إستبدال ق / ك
فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْج@زِدِ الْحَرَامِ,فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْ,زِ,دِ الْحَرَامِ,إستبدال ج / ز
أَفَآمِنُوا۟ مَكْرَ اللَّٰهِ فَلَا يَأْمَنُ مَكْرَ اللَّٰهِ إِلَّا الْقَوْمُ الْخَاس@صِرُونَ,أَفَآمِنُوا۟ مَكْرَ اللَّٰهِ فَلَا يَأْمَنُ مَكْرَ اللَّٰهِ إِلَّا الْقَوْمُ الْخَا,صِ,رُونَ,إستبدال س / ص
لَا إِكْرَاهَ فِي الدِّينِ قَدْ تَبَيَّنَ الرُّش@جدُ مِنَ الْغَيِّ,لَا إِكْرَاهَ فِي الدِّينِ قَدْ تَبَيَّنَ الرُّ,ج,دُ مِنَ الْغَيِّ,إستبدال ش / ج
وَلِكُلٍ وِ@  جْهَةٌ هُوَ مُوَلِّيَهَا فَاسْتَبِقُوا الْخَيْرَاتِ,وَلِكُلٍ ,وِ,جْهَةٌ هُوَ مُوَلِّيَهَا فَاسْتَبِقُوا الْخَيْرَاتِ,حذف الواو
وَأَعْت@دَدْنَا لِلْكَافِرِينَ عَذَابًا مُّهِينًا,وَأَعْ,دَ,دْنَا لِلْكَافِرِينَ عَذَابًا مُّهِينًا,استبدال ت / د
لِيَج@ زِّيَ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ,لِيَ,زِّ,يَ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ,حذف ال جْ
الرَّ@رحْمَنِ,الرَّ,رر,حْمَٰنِ,إضافة الراء
